,Drive_Time,NormalValue,Drive_Time_Score
"1 1 PLACE,11231,NYC",1722.0,66.17402164862614,3.970441298917568
"1 5 AVENUE,10003,NYC",1426.0,72.33555370524563,4.340133222314738
"1 ASCAN AVENUE,11375,NYC",2009.0,60.199833472106576,3.6119900083263943
"1 BARLOW DRIVE NORTH,11234,NYC",3841.0,22.064945878434642,1.3238967527060785
"1 BAY CLUB DRIVE,11360,NYC",2706.0,45.691090757701915,2.7414654454621146
"1 BAYVIEW AVENUE,11414,NYC",2658.0,46.69025811823481,2.8014154870940886
"1 BOND STREET,10012,NYC",1358.0,73.7510407993339,4.425062447960033
"1 BUTTONWOOD ROAD,10304,NYC",3843.0,22.023313905079107,1.3213988343047463
"1 CENTRAL PARK WEST,10023,NYC",1326.0,74.41715237302247,4.465029142381348
"1 COENTIES SLIP,10004,NYC",1568.0,69.3796835970025,4.1627810158201495
"1 DEWHURST STREET,10314,NYC",3853.0,21.815154038301415,1.3089092422980848
"1 EAST 66 STREET,10065,NYC",1039.0,80.39134054954205,4.823480432972523
"1 EAST 88 STREET,11236,NYC",3045.0,38.63447127393839,2.318068276436303
"1 EAST END AVENUE,10075,NYC",1002.0,81.16153205661948,4.869691923397169
"1 FRANKLIN AVENUE,11249,NYC",1184.0,77.37302248126562,4.642381348875937
"1 GRAND ARMY PLAZA,11238,NYC",2071.0,58.909242298084926,3.5345545378850955
"1 HANSON PLACE,11217,NYC",1665.0,67.36053288925895,4.041631973355536
"1 IRVING PLACE,10003,NYC",1222.0,76.5820149875104,4.594920899250624
"1 JOHN STREET,11201,NYC",1434.0,72.16902581182347,4.330141548709408
"1 LAUREL AVENUE,10304,NYC",3674.0,25.54121565362199,1.5324729392173193
"1 LEXINGTON AVENUE,10010,NYC",1117.0,78.76769358867611,4.726061615320567
"1 MAIN STREET,11201,NYC",1433.0,72.18984179850125,4.331390507910075
"1 MORNINGSIDE DRIVE,10025,NYC",2415.0,51.74854288093256,3.1049125728559535
"1 MORRIS PLACE,10308,NYC",4481.0,8.742714404662777,0.5245628642797666
"1 MORTON SQUARE,10014,NYC",1820.0,64.13405495420483,3.8480432972522896
"1 NORTH PIER,11211,NYC",937.0,82.51457119067445,4.950874271440466
"1 PATRICIA LANE,10465,NYC",2755.0,44.67110741049126,2.6802664446294755
"1 PEROT STREET,10463,NYC",2454.0,50.936719400499584,3.056203164029975
"1 QUINCY STREET,11238,NYC",1625.0,68.19317235636969,4.091590341382181
"1 RICHMOND ROAD,11363,NYC",2980.0,39.98751040799334,2.3992506244796004
"1 RIVER TERRACE,10280,NYC",1803.0,64.48792672772689,3.869275603663613
"1 ROCKWELL PLACE,11201,NYC",1582.0,69.08825978351373,4.145295587010824
"1 RUTHERFORD PLACE,10003,NYC",1065.0,79.85012489592006,4.791007493755203
"1 STATION SQUARE,11375,NYC",1791.0,64.73771856786011,3.8842631140716066
"1 SUMMIT PLACE,11357,NYC",2351.0,53.08076602830974,3.184845961698584
"1 SUNNYMEADE VILLAGE,10305,NYC",3519.0,28.767693588676096,1.7260616153205657
