,neighborhood,EduNomal,Edu_Score
0,ALLERTON,66.66666666666666,4.666666666666666
1,ALPHABET CITY,67.85714285714286,4.750000000000001
2,ANNADALE,50.0,3.5000000000000004
3,ARDEN HEIGHTS,50.0,3.5000000000000004
4,ARROCHAR,50.0,3.5000000000000004
5,ARVERNE,62.5,4.375
6,ASTORIA,70.45454545454545,4.9318181818181825
7,AUBURNDALE,68.75,4.812500000000001
8,BATH BEACH,75.0,5.250000000000001
9,BATTERY PARK CITY,100.0,7.000000000000001
10,BAY RIDGE,79.16666666666666,5.541666666666667
11,BAY TERRACE,91.66666666666666,6.416666666666667
12,BAYCHESTER,66.66666666666666,4.666666666666666
13,BAYSIDE,87.5,6.125000000000001
14,BAYSWATER,50.0,3.5000000000000004
15,BEDFORD-STUYVESANT,73.75,5.1625000000000005
16,BELLE HARBOR,100.0,7.000000000000001
17,BELLEROSE MANOR,70.0,4.9
18,BELMONT,55.00000000000001,3.850000000000001
19,BENSONHURST,83.33333333333334,5.833333333333335
20,BERGEN BEACH,75.0,5.250000000000001
21,BLOOMINGDALE,87.5,6.125000000000001
22,BOERUM HILL,83.33333333333334,5.833333333333335
23,BOROUGH PARK,91.66666666666666,6.416666666666667
24,BRIARWOOD,87.5,6.125000000000001
25,BRIGHTON BEACH,87.5,6.125000000000001
26,BROAD CHANNEL,100.0,7.000000000000001
27,BROADWAY TRIANGLE,50.0,3.5000000000000004
28,BROOKLYN HEIGHTS,75.0,5.250000000000001
29,BROOKVILLE,75.0,5.250000000000001
30,BROWNSVILLE,60.86956521739131,4.2608695652173925
31,BULLS HEAD,50.0,3.5000000000000004
32,BUSHWICK,65.21739130434783,4.565217391304349
33,CAMBRIA HEIGHTS,50.0,3.5000000000000004
34,CANARSIE,63.63636363636363,4.454545454545455
35,CARNEGIE HILL,87.5,6.125000000000001
36,CARROLL GARDENS,83.33333333333334,5.833333333333335
37,CASTLE HILL,62.5,4.375
38,CASTLETON CORNERS,75.0,5.250000000000001
39,CHELSEA,75.0,5.250000000000001
40,CHINATOWN,87.5,6.125000000000001
41,CITY ISLAND,50.0,3.5000000000000004
42,CLAREMONT,62.5,4.375
43,CLAREMONT VILLAGE,50.0,3.5000000000000004
44,CLASON POINT,80.0,5.6000000000000005
45,CLEARVIEW,62.5,4.375
46,CLIFTON,58.333333333333336,4.083333333333334
47,CLINTON HILL,62.5,4.375
48,COBBLE HILL,75.0,5.250000000000001
49,COLLEGE POINT,62.5,4.375
50,CONCOURSE,62.5,4.375
51,CONEY ISLAND,75.0,5.250000000000001
52,CORONA,62.5,4.375
53,CROWN HEIGHTS,68.47826086956522,4.793478260869565
54,CYPRESS HILLS,71.875,5.031250000000001
55,DITMARS STEINWAY,90.0,6.300000000000001
56,DONGAN HILLS,75.0,5.250000000000001
57,DOWNTOWN BROOKLYN,50.0,3.5000000000000004
58,DYKER HEIGHTS,87.5,6.125000000000001
59,EAST BRONX,50.0,3.5000000000000004
60,EAST ELMHURST,75.0,5.250000000000001
61,EAST FLATBUSH,66.34615384615384,4.644230769230769
62,EAST FLUSHING,100.0,7.000000000000001
63,EAST HARLEM,64.84375,4.5390625
64,EAST NEW YORK,62.903225806451616,4.403225806451614
65,EAST VILLAGE,75.0,5.250000000000001
66,EAST WILLIAMSBURG,62.5,4.375
67,EASTCHESTER,75.0,5.250000000000001
68,EDENWALD,68.75,4.812500000000001
69,EDGEMERE,50.0,3.5000000000000004
70,ELM PARK,75.0,5.250000000000001
71,ELMHURST,70.0,4.9
72,FAR ROCKAWAY,65.625,4.59375
73,FINANCIAL DISTRICT,87.5,6.125000000000001
74,FLATBUSH - DITMAS PARK,63.888888888888886,4.472222222222222
75,FLATIRON DISTRICT,75.0,5.250000000000001
76,FLATLANDS,50.0,3.5000000000000004
77,FLEETWOOD - CONCOURSE VILLAGE,70.3125,4.921875000000001
78,FLUSHING,83.33333333333334,5.833333333333335
79,FORDHAM HEIGHTS,66.66666666666666,4.666666666666666
80,FORDHAM MANOR,50.0,3.5000000000000004
81,FOREST HILLS,66.66666666666666,4.666666666666666
82,FORT GEORGE,71.15384615384616,4.980769230769232
