,Transit_Time,NormalValue,Transit_Time_Score
"1 1 PLACE,11231,NYC",2020.0,70.69531483139362,4.241718889883617
"1 5 AVENUE,10003,NYC",1989.0,71.15786332438078,4.269471799462847
"1 ASCAN AVENUE,11375,NYC",2043.0,70.3521336914354,4.221128021486123
"1 BARLOW DRIVE NORTH,11234,NYC",4963.0,26.78304983586989,1.6069829901521933
"1 BAY CLUB DRIVE,11360,NYC",3923.0,42.30080572963295,2.5380483437779766
"1 BAYVIEW AVENUE,11414,NYC",4000.0,41.15189495672933,2.4691136974037597
"1 BOND STREET,10012,NYC",1387.0,80.14025663980901,4.80841539838854
"1 BUTTONWOOD ROAD,10304,NYC",5117.0,24.485228290062665,1.4691136974037597
"1 CENTRAL PARK WEST,10023,NYC",1327.0,81.0355117875261,4.862130707251566
"1 COENTIES SLIP,10004,NYC",1896.0,72.54550880334229,4.352730528200537
"1 DEWHURST STREET,10314,NYC",5081.0,25.022381378692927,1.5013428827215756
"1 EAST 66 STREET,10065,NYC",1359.0,80.55804237541032,4.833482542524619
"1 EAST 88 STREET,11236,NYC",4274.0,37.063563115487916,2.223813786929275
"1 EAST END AVENUE,10075,NYC",2188.0,68.18860041778574,4.091316025067144
"1 FRANKLIN AVENUE,11249,NYC",1380.0,80.24470307370933,4.814682184422559
"1 GRAND ARMY PLAZA,11238,NYC",2448.0,64.30916144434497,3.8585496866606976
"1 HANSON PLACE,11217,NYC",1476.0,78.81229483736197,4.728737690241719
"1 IRVING PLACE,10003,NYC",1047.0,85.21336914353924,5.112802148612354
"1 JOHN STREET,11201,NYC",2452.0,64.2494777678305,3.85496866606983
"1 LAUREL AVENUE,10304,NYC",4610.0,32.05013428827216,1.9230080572963297
"1 LEXINGTON AVENUE,10010,NYC",1123.0,84.07937928976425,5.044762757385855
"1 MAIN STREET,11201,NYC",2323.0,66.17427633542226,3.9704565801253358
"1 MORNINGSIDE DRIVE,10025,NYC",2242.0,67.38287078484035,4.042972247090421
"1 MORRIS PLACE,10308,NYC",5190.0,23.396001193673527,1.4037600716204115
"1 MORTON SQUARE,10014,NYC",2142.0,68.87496269770219,4.1324977618621315
"1 NORTH PIER,11211,NYC",1619.0,76.67860340196955,4.600716204118173
"1 PATRICIA LANE,10465,NYC",6030.0,10.862429125634137,0.6517457475380481
"1 PEROT STREET,10463,NYC",3786.0,44.34497165025365,2.660698299015219
"1 QUINCY STREET,11238,NYC",1318.0,81.16980005968368,4.8701880035810206
"1 RICHMOND ROAD,11363,NYC",3579.0,47.43360190987765,2.846016114592659
"1 RIVER TERRACE,10280,NYC",2537.0,62.98119964189794,3.7788719785138762
"1 ROCKWELL PLACE,11201,NYC",1560.0,77.55893763055803,4.653536257833482
"1 RUTHERFORD PLACE,10003,NYC",1432.0,79.46881527902119,4.768128916741271
"1 STATION SQUARE,11375,NYC",1836.0,73.44076395105938,4.406445837063563
"1 SUMMIT PLACE,11357,NYC",3702.0,45.59832885705759,2.735899731423455
"1 SUNNYMEADE VILLAGE,10305,NYC",4199.0,38.18263205013429,2.2909579230080572
"1 SUTTON PLACE SOUTH,10022,NYC",1348.0,80.72217248582513,4.843330349149507
"1 TIFFANY PLACE,11231,NYC",2228.0,67.59176365264099,4.055505819158459
"1 VERONA PLACE,11216,NYC",1944.0,71.82930468516861,4.309758281110116
"1 WALL STREET,10005,NYC",1528.0,78.03640704267383,4.68218442256043
"1 WEST END AVENUE,10023,NYC",1982.0,71.2623097582811,4.275738585496867
"1 YORK STREET,10013,NYC",1877.0,72.82900626678604,4.3697403760071625
"1-17 MALBA DRIVE,11357,NYC",3837.0,43.584004774694115,2.615040286481647
"1-65 BEACH 90 STREET,11693,NYC",4659.0,31.31900925096987,1.879140555058192
"10 3 PLACE,11231,NYC",2019.0,70.71023575052223,4.242614145031333
"10 ASHLEY LANE,10309,NYC",5244.0,22.59027156072814,1.3554162936436884
"10 ASTER COURT,11229,NYC",4874.0,28.111011638316924,1.6866606982990153
"10 BAY 47 STREET,11214,NYC",4379.0,35.49686660698299,2.1298119964189794
"10 BAY STREET LANDING,10301,NYC",4773.0,29.618024470307375,1.7770814682184424
"10 BEACH 32 STREET,11691,NYC",4944.0,27.06654729931364,1.6239928379588184
"10 CELEBRATION LANE,10304,NYC",5034.0,25.723664577737992,1.5434198746642795
"10 CELESTE COURT,11229,NYC",4940.0,27.126230975828108,1.6275738585496864
"10 CENTER STREET,10306,NYC",5177.0,23.58997314234557,1.4153983885407342
"10 CHALLENGER DRIVE,10312,NYC",4784.0,29.453894359892573,1.7672336615935542
"10 CHARTER OAK ROAD,10304,NYC",5169.0,23.70934049537452,1.4225604297224712
"10 EAST 43 STREET,11203,NYC",3493.0,48.71680095493882,2.923008057296329
"10 EAST 70 STREET,10021,NYC",1540.0,77.85735601313041,4.671441360787824
"10 EAST 85 STREET,10028,NYC",1688.0,75.6490599820949,4.538943598925694
"10 EAST END AVENUE,10075,NYC",2192.0,68.12891674127127,4.087735004476276
"10 GRACIE SQUARE,10028,NYC",2276.0,66.87555953446733,4.0125335720680395
"10 GRAMERCY PARK SOUTH,10003,NYC",1144.0,83.76603998806327,5.025962399283796
"10 HEWITT AVENUE,10301,NYC",4834.0,28.707848403461654,1.722470904207699
"10 KOSSUTH PLACE,11221,NYC",1938.0,71.91883019994032,4.315129811996419
"10 LEONARD STREET,10013,NYC",1937.0,71.93375111906893,4.316025067144135
"10 LEVERETT COURT,10308,NYC",5638.0,16.711429424052525,1.0026857654431516
"10 LITTLE WEST STREET,10004,NYC",1955.0,71.6651745747538,4.299910474485229
"10 LYON PLACE,10314,NYC",4971.0,26.66368248284094,1.5998209489704565
"10 MILL ROAD,10306,NYC",5096.0,24.798567591763657,1.4879140555058195
"10 MITCHELL PLACE,10017,NYC",1268.0,81.91584601611459,4.9149507609668746
"10 MONROE STREET,11238,NYC",1355.0,80.61772605192479,4.837063563115487
"10 MONTAGUE TERRACE,11201,NYC",2468.0,64.01074306177262,3.8406445837063568
"10 MONTGOMERY AVENUE,10301,NYC",4711.0,30.54312145628171,1.8325872873769025
"10 NOEL ROAD,11693,NYC",4136.0,39.12264995523724,2.3473589973142346
"10 PAERDEGAT 13 STREET,11236,NYC",4144.0,39.0032826022083,2.340196956132498
"10 PAERDEGAT 3 STREET,11236,NYC",3823.0,43.79289764249478,2.627573858549687
"10 PALMER AVENUE,10302,NYC",5315.0,21.530886302596244,1.2918531781557745
"10 PARK AVENUE,10016,NYC",1153.0,83.6317517159057,5.017905102954342
"10 PENN STREET,10314,NYC",4595.0,32.27394807520143,1.9364368845120858
"10 PRAGUE COURT,10309,NYC",5397.0,20.307370934049544,1.2184422560429726
"10 PROSPECT PARK SW,11215,NYC",2033.0,70.50134288272157,4.230080572963295
"10 REEVE PLACE,11218,NYC",2396.0,65.08504923903313,3.9051029543419875
"10 RUTGERS STREET,10002,NYC",1767.0,74.47030737093405,4.468218442256043
"10 SOUTH DRUM STREET,10309,NYC",5591.0,17.412712623097576,1.0447627573858544
"10 SOUTH OXFORD STREET,11217,NYC",1523.0,78.11101163831692,4.686660698299015
"10 ST JAMES PLACE,10304,NYC",4801.0,29.200238734706062,1.7520143240823636
"10 SULLIVAN STREET,10012,NYC",1909.0,72.35153685467024,4.341092211280214
"10 TRINA LANE,10309,NYC",5308.0,21.635332736496565,1.2981199641897938
"10 WALKER DRIVE,10303,NYC",4982.0,26.499552372426137,1.589973142345568
"10 WEST 122 STREET,10027,NYC",2294.0,66.60698299015219,3.9964189794091314
"10 WEST 14 ROAD,11693,NYC",4745.0,30.03581020590869,1.8021486123545212
"10 WEST 65 STREET,10023,NYC",1619.0,76.67860340196955,4.600716204118173
"10 WEST END AVENUE,10023,NYC",2021.0,70.68039391226499,4.240823634735899
"10 WINDSOR PLACE,11215,NYC",2425.0,64.6523425843032,3.879140555058192
"10-01 162 STREET,11357,NYC",3703.0,45.583407937928975,2.7350044762757384
"10-07 127 STREET,11356,NYC",3281.0,51.88003581020591,3.1128021486123547
"10-09 154 STREET,11357,NYC",3534.0,48.10504327066547,2.8863025962399282
"10-10 117 STREET,11356,NYC",3335.0,51.07430617726052,3.0644583706356308
"10-10 166 STREET,11357,NYC",3750.0,44.88212473888391,2.6929274843330346
"10-11 162 STREET,11357,NYC",3723.0,45.28498955535662,2.717099373321397
"10-11 NAMEOKE STREET,11691,NYC",5294.0,21.844225604297236,1.3106535362578342
"10-16 148 STREET,11357,NYC",3474.0,49.00029841838257,2.940017905102954
"10-16 CHURCH ROAD,11693,NYC",4886.0,27.931960608773494,1.6759176365264097
"10-17 JACKSON AVENUE,11101,NYC",405.0,94.79259922411221,5.687555953446732
"10-21 162 STREET,11357,NYC",3783.0,44.389734407639516,2.663384064458371
"10-23 117 STREET,11356,NYC",3311.0,51.43240823634736,3.085944494180841
"10-24 166 STREET,11357,NYC",3771.0,44.56878543718293,2.674127126230976
"10-26 152 STREET,11357,NYC",3707.0,45.5237242614145,2.7314234556848698
"10-34 166 STREET,11357,NYC",3780.0,44.43449716502536,2.6660698299015215
"10-35 116 STREET,11356,NYC",3351.0,50.83557147120263,3.0501342882721576
"10-36 BAY 31 STREET,11691,NYC",5207.0,23.142345568487016,1.3885407341092209
"10-40 46 ROAD,11101,NYC",286.0,96.56818860041778,5.794091316025066
"10-41 MC BRIDE STREET,11691,NYC",5157.0,23.888391524917935,1.433303491495076
"10-45 TOTTEN STREET,11357,NYC",4060.0,40.25663980901224,2.4153983885407344
"10-46 JACKSON AVENUE,11101,NYC",300.0,96.35929573261713,5.781557743957028
"10-48 READS LANE,11691,NYC",5151.0,23.977917039689643,1.4386750223813785
"10-49 BURTON STREET,11357,NYC",4005.0,41.07729036108624,2.4646374216651745
"10-53 DICKENS STREET,11691,NYC",5109.0,24.604595643091614,1.4762757385854968
"10-55 115 STREET,11356,NYC",3371.0,50.53715308863026,3.032229185317816
"10-55 47 AVENUE,11101,NYC",207.0,97.74694121157863,5.864816472694717
"10-55 MC BRIDE STREET,11691,NYC",5177.0,23.58997314234557,1.4153983885407342
"10-63 JACKSON AVENUE,11101,NYC",231.0,97.3888391524918,5.843330349149507
"100 11 AVENUE,10011,NYC",2154.0,68.69591166815876,4.121754700089525
"100 ACACIA AVENUE,10308,NYC",5443.0,19.621008654133092,1.1772605192479855
"100 AVENUE A,10009,NYC",1817.0,73.72426141450313,4.423455684870188
"100 AVENUE P,11204,NYC",3927.0,42.241122053118474,2.5344673231871084
"100 AVENUE T,11223,NYC",4058.0,40.28648164726947,2.417188898836168
"100 BENNETT AVENUE,10033,NYC",2623.0,61.69800059683676,3.7018800358102055
"100 CENTRAL PARK SOUTH,10019,NYC",1208.0,82.8111011638317,4.968666069829902
"100 CODDINGTON AVENUE,10306,NYC",4942.0,27.09638913757088,1.6257833482542527
"100 COLFAX AVENUE,10306,NYC",4940.0,27.126230975828108,1.6275738585496864
"100 COVERT STREET,11207,NYC",2259.0,67.12921515965382,4.027752909579229
"100 CROWELL AVENUE,10314,NYC",4668.0,31.184720978812294,1.8710832587287376
"100 DALEHAM STREET,10308,NYC",5504.0,18.71083258728737,1.1226499552372422
"100 DUER AVENUE,10305,NYC",4096.0,39.71948672038198,2.3831692032229186
"100 ENGERT AVENUE,11222,NYC",814.0,88.68994330050731,5.3213965980304385
"100 ESSEX STREET,11208,NYC",2743.0,59.90749030140257,3.594449418084154
"100 HAWKINS STREET,10464,NYC",4999.0,26.245896747239627,1.5747538048343774
"100 HUDSON STREET,10013,NYC",1941.0,71.87406744255446,4.312444046553267
"100 JAY STREET,11201,NYC",2130.0,69.0540137272456,4.143240823634736
"100 KENMORE STREET,10312,NYC",4783.0,29.468815279021186,1.768128916741271
