neighbhood,Total_Number
ALLERTON,2
ARVERNE,1
ASTORIA,2
BAY RIDGE,1
BEDFORD-STUYVESANT,3
BENSONHURST,2
BLOOMINGDALE,1
BOERUM HILL,7
BOROUGH PARK,2
BOWERY,2
BRIARWOOD,1
BRIGHTON BEACH,2
BROAD CHANNEL,2
BROOKLYN HEIGHTS,5
BROWNSVILLE,1
BUSHWICK,3
CANARSIE,1
CARNEGIE HILL,3
CARROLL GARDENS,2
CENTRAL PARK,3
CHELSEA,4
CHINATOWN,1
CIVIC CENTER,5
CLINTON HILL,1
CONCOURSE,3
CONEY ISLAND,4
CROWN HEIGHTS,5
CYPRESS HILLS,4
DITMARS STEINWAY,2
DOWNTOWN BROOKLYN,7
DYKER HEIGHTS,1
EAST FLATBUSH,2
EAST HARLEM,3
EAST NEW YORK,2
EAST WILLIAMSBURG,1
EASTCHESTER,1
EDGEMERE,1
ELMHURST,5
FAR ROCKAWAY,1
FINANCIAL DISTRICT,7
FLATBUSH - DITMAS PARK,2
FLATIRON DISTRICT,2
FLUSHING,1
FLUSHING MEADOWS CORONA PARK,1
FORDHAM HEIGHTS,2
FORDHAM MANOR,2
FOREST HILLS,4
FORT GEORGE,1
FORT GREENE,7
FOXHURST,2
GOWANUS,3
GRAMERCY PARK,1
GRAVESEND,1
GREENPOINT,1
GREENWICH VILLAGE,7
GREENWOOD HEIGHTS,2
HAMILTON HEIGHTS,1
HARLEM,4
HELL'S KITCHEN,1
HUDSON HEIGHTS,1
HUDSON SQUARE,1
HUNTERS POINT,4
INWOOD,1
JAMAICA,3
JAMAICA ESTATES,1
JAMAICA HILLS,1
JEROME PARK,2
KEW GARDENS,1
KINGSBRIDGE,1
LACONIA,1
LENOX HILL,6
LINCOLN SQUARE,3
LITTLE ITALY,6
LONG ISLAND CITY,3
LOWER EAST SIDE,4
LOWER MANHATTAN,7
MAPLETON,1
MARBLE HILL,1
MIDDLETOWN - PELHAM BAY,1
MIDTOWN,7
MIDTOWN EAST,3
MIDTOWN WEST,5
MIDWOOD,2
MORNINGSIDE HEIGHTS,1
MORRIS HEIGHTS,1
MORRIS PARK,1
MOTT HAVEN,3
MOUNT EDEN,2
MOUNT HOPE,2
NOHO,5
NOMAD,2
NORTH CORONA,1
NORWOOD,1
OLINVILLE,2
OZONE PARK,1
PARK SLOPE,7
PARK VERSAILLES,1
PELHAM GARDENS,1
PROSPECT HEIGHTS,2
PROSPECT LEFFERTS GARDENS,3
PROSPECT PARK SOUTH,2
REGO PARK,2
RICHMOND HILL,2
RIDGEWOOD,1
ROCKAWAY PARK,1
ROOSEVELT ISLAND,1
ROSE HILL,1
SEASIDE,1
SHEEPSHEAD BAY,2
SOHO,6
SOUNDVIEW,1
SOUTH OZONE PARK,1
SOUTH RICHMOND HILL,1
SOUTH SLOPE,1
STUYVESANT TOWN,1
SUGAR HILL,4
SUNNYSIDE,1
SUNSET PARK,2
THEATER DISTRICT,7
TRIBECA,6
UNION SQUARE,7
UNIONPORT,1
UNIVERSITY HEIGHTS,1
UPPER WEST SIDE,3
VAN NEST,2
WAKEFIELD,2
WASHINGTON HEIGHTS,3
WEST BRONX,2
WEST FARMS,2
WEST VILLAGE,6
WESTCHESTER SQUARE,1
WILLIAMSBURG,3
WINDSOR TERRACE,1
WOODHAVEN,2
WOODSIDE,2
WOODSTOCK,2
